study,kind,record_index,phase,status,clock_boot_id,start_ns,finish_ns,duration_s,bytes_acquired,details
confirmation-14b,inherited_or_current_setup,55,artifact-finalization,COMPLETED,bf6e335a-b7ba-4c68-ba5f-b7c47549b388,286186370953140,286186480971599,0.110018459,0,raw hashing and immutable recipe-attempt publication
development,inherited_or_current_setup,55,artifact-finalization,COMPLETED,bf6e335a-b7ba-4c68-ba5f-b7c47549b388,286186370953140,286186480971599,0.110018459,0,raw hashing and immutable recipe-attempt publication
confirmation-14b,inherited_or_current_setup,56,predecessor-study-attempt,COMPLETED,bf6e335a-b7ba-4c68-ba5f-b7c47549b388,286186559988768,286196471916329,9.911927561,0,"{""expected_requests"":8,""observed_requests"":8,""purpose"":""DEVELOPMENT"",""scope"":""prior recipe trial retained, not a cell in this recipe"",""source_attempt_id"":""attempt-90ed1fd963d84327a183881c97b54217"",""source_attempt_sha256"":""a2b149da76f4d575f2e18e7eedc6195bcd7546fe01e3ac76f610b14f9873c120"",""source_config_sha256"":""37cc160d896fb7cc67650a70d97cb3d943c5be65a47fb99f192343b5af815896"",""source_recipe_sha256"":""46db99c115954c09232f213466cd1a77985a1ac2155ec2e88f49c69be3e98506"",""source_session_id"":""183adb6a0b1e482a944df3f0e7fed222""}"
development,inherited_or_current_setup,56,predecessor-study-attempt,COMPLETED,bf6e335a-b7ba-4c68-ba5f-b7c47549b388,286186559988768,286196471916329,9.911927561,0,"{""expected_requests"":8,""observed_requests"":8,""purpose"":""DEVELOPMENT"",""scope"":""prior recipe trial retained, not a cell in this recipe"",""source_attempt_id"":""attempt-90ed1fd963d84327a183881c97b54217"",""source_attempt_sha256"":""a2b149da76f4d575f2e18e7eedc6195bcd7546fe01e3ac76f610b14f9873c120"",""source_config_sha256"":""37cc160d896fb7cc67650a70d97cb3d943c5be65a47fb99f192343b5af815896"",""source_recipe_sha256"":""46db99c115954c09232f213466cd1a77985a1ac2155ec2e88f49c69be3e98506"",""source_session_id"":""183adb6a0b1e482a944df3f0e7fed222""}"
confirmation-14b,inherited_or_current_setup,57,artifact-finalization,COMPLETED,bf6e335a-b7ba-4c68-ba5f-b7c47549b388,286196471916329,286196590351098,0.118434769,0,raw hashing and immutable recipe-attempt publication
development,inherited_or_current_setup,57,artifact-finalization,COMPLETED,bf6e335a-b7ba-4c68-ba5f-b7c47549b388,286196471916329,286196590351098,0.118434769,0,raw hashing and immutable recipe-attempt publication
confirmation-14b,inherited_or_current_setup,58,predecessor-study-attempt,COMPLETED,bf6e335a-b7ba-4c68-ba5f-b7c47549b388,286196687833222,286206606440892,9.91860767,0,"{""expected_requests"":8,""observed_requests"":8,""purpose"":""DEVELOPMENT"",""scope"":""prior recipe trial retained, not a cell in this recipe"",""source_attempt_id"":""attempt-f42a114086d048579292e3c787a3e4bf"",""source_attempt_sha256"":""408da8fff1c47dccaf370438a716c1b326fb0eacc527c7bbb3a9f241bf9ac5d7"",""source_config_sha256"":""37cc160d896fb7cc67650a70d97cb3d943c5be65a47fb99f192343b5af815896"",""source_recipe_sha256"":""46db99c115954c09232f213466cd1a77985a1ac2155ec2e88f49c69be3e98506"",""source_session_id"":""183adb6a0b1e482a944df3f0e7fed222""}"
development,inherited_or_current_setup,58,predecessor-study-attempt,COMPLETED,bf6e335a-b7ba-4c68-ba5f-b7c47549b388,286196687833222,286206606440892,9.91860767,0,"{""expected_requests"":8,""observed_requests"":8,""purpose"":""DEVELOPMENT"",""scope"":""prior recipe trial retained, not a cell in this recipe"",""source_attempt_id"":""attempt-f42a114086d048579292e3c787a3e4bf"",""source_attempt_sha256"":""408da8fff1c47dccaf370438a716c1b326fb0eacc527c7bbb3a9f241bf9ac5d7"",""source_config_sha256"":""37cc160d896fb7cc67650a70d97cb3d943c5be65a47fb99f192343b5af815896"",""source_recipe_sha256"":""46db99c115954c09232f213466cd1a77985a1ac2155ec2e88f49c69be3e98506"",""source_session_id"":""183adb6a0b1e482a944df3f0e7fed222""}"
confirmation-14b,inherited_or_current_setup,59,artifact-finalization,COMPLETED,bf6e335a-b7ba-4c68-ba5f-b7c47549b388,286206606440892,286206746377147,0.139936255,0,raw hashing and immutable recipe-attempt publication
development,inherited_or_current_setup,59,artifact-finalization,COMPLETED,bf6e335a-b7ba-4c68-ba5f-b7c47549b388,286206606440892,286206746377147,0.139936255,0,raw hashing and immutable recipe-attempt publication
confirmation-14b,inherited_or_current_setup,60,predecessor-study-attempt,COMPLETED,bf6e335a-b7ba-4c68-ba5f-b7c47549b388,286206864486770,286216780119196,9.915632426,0,"{""expected_requests"":8,""observed_requests"":8,""purpose"":""DEVELOPMENT"",""scope"":""prior recipe trial retained, not a cell in this recipe"",""source_attempt_id"":""attempt-89b0a21a13c2446185065f4ea7d10a81"",""source_attempt_sha256"":""44a15478d93c231d22224a5e300f6916204c3f0590be08bfbf480e92a00b1e5d"",""source_config_sha256"":""37cc160d896fb7cc67650a70d97cb3d943c5be65a47fb99f192343b5af815896"",""source_recipe_sha256"":""46db99c115954c09232f213466cd1a77985a1ac2155ec2e88f49c69be3e98506"",""source_session_id"":""183adb6a0b1e482a944df3f0e7fed222""}"
development,inherited_or_current_setup,60,predecessor-study-attempt,COMPLETED,bf6e335a-b7ba-4c68-ba5f-b7c47549b388,286206864486770,286216780119196,9.915632426,0,"{""expected_requests"":8,""observed_requests"":8,""purpose"":""DEVELOPMENT"",""scope"":""prior recipe trial retained, not a cell in this recipe"",""source_attempt_id"":""attempt-89b0a21a13c2446185065f4ea7d10a81"",""source_attempt_sha256"":""44a15478d93c231d22224a5e300f6916204c3f0590be08bfbf480e92a00b1e5d"",""source_config_sha256"":""37cc160d896fb7cc67650a70d97cb3d943c5be65a47fb99f192343b5af815896"",""source_recipe_sha256"":""46db99c115954c09232f213466cd1a77985a1ac2155ec2e88f49c69be3e98506"",""source_session_id"":""183adb6a0b1e482a944df3f0e7fed222""}"
confirmation-14b,inherited_or_current_setup,61,artifact-finalization,COMPLETED,bf6e335a-b7ba-4c68-ba5f-b7c47549b388,286216780119196,286216983886503,0.203767307,0,raw hashing and immutable recipe-attempt publication
development,inherited_or_current_setup,61,artifact-finalization,COMPLETED,bf6e335a-b7ba-4c68-ba5f-b7c47549b388,286216780119196,286216983886503,0.203767307,0,raw hashing and immutable recipe-attempt publication
confirmation-14b,inherited_or_current_setup,62,runtime-admission,COMPLETED,bf6e335a-b7ba-4c68-ba5f-b7c47549b388,286218670628608,286220945990033,2.275361425,0,recipe/setup/hardware/prior-cost admission; actual shard and binary verification occurs inside each retained attempt
development,inherited_or_current_setup,62,runtime-admission,COMPLETED,bf6e335a-b7ba-4c68-ba5f-b7c47549b388,286218670628608,286220945990033,2.275361425,0,recipe/setup/hardware/prior-cost admission; actual shard and binary verification occurs inside each retained attempt
confirmation-14b,inherited_or_current_setup,63,predecessor-study-attempt,INTERRUPTED,bf6e335a-b7ba-4c68-ba5f-b7c47549b388,286221035006817,286226108645968,5.073639151,0,"{""expected_requests"":8,""observed_requests"":2,""purpose"":""DEVELOPMENT"",""scope"":""prior recipe trial retained, not a cell in this recipe"",""source_attempt_id"":""attempt-cc513b5d391e4bb3bea79ce3ebb22a91"",""source_attempt_sha256"":""2c0d1d315f72aadf430b75ce03976c6626b4a55d46a50f9d22c57a6ee57c6965"",""source_config_sha256"":""37cc160d896fb7cc67650a70d97cb3d943c5be65a47fb99f192343b5af815896"",""source_recipe_sha256"":""46db99c115954c09232f213466cd1a77985a1ac2155ec2e88f49c69be3e98506"",""source_session_id"":""56c1998cbb4d433495748bd1a52360d3""}"
